"T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
277.85,1,3.4006,3.6006,0,5
277.84,1,3.4104,3.6104,0,5
277.83,1,3.4202,3.6202,0,5
277.82,1,3.43,3.63,0,5
277.81,1,3.4398,3.6398,0,5
277.8,1,3.4496,3.6496,0,5
277.79,1,3.4594,3.6594,0,5
277.78,1,3.4692,3.6692,0,5
277.77,1,3.479,3.679,0,5
277.76,1,3.4888,3.6888,0,5
277.75,1,3.4986,3.6986,0,5
277.74,1,3.5084,3.7084,0,5
277.72,1,3.5182,3.7182,0,5
277.69,1,3.528,3.728,0,5
277.65,1,3.5378,3.7378,0,5
277.61,1,3.5476,3.7476,0,5
277.58,1,3.5574,3.7574,0,5
277.54,1,3.5672,3.7672,0,5
277.51,1,3.577,3.777,0,5
277.47,1,3.5868,3.7868,0,5
277.43,1,3.5966,3.7966,0,5
277.4,1,3.6064,3.8064,0,5
277.36,1,3.6162,3.8162,0,5
277.32,1,3.626,3.826,0,5
277.29,1,3.6358,3.8358,0,5
277.25,1,3.6456,3.8456,0,5
277.22,1,3.6554,3.8554,0,5
277.18,1,3.6652,3.8652,0,5
277.14,1,3.675,3.875,0,5
277.11,1,3.6848,3.8848,0,5
277.07,1,3.6946,3.8946,0,5
277.03,1,3.7044,3.9044,0,5
277,1,3.7142,3.9142,0,5
276.96,1,3.724,3.924,0,5
276.93,1,3.7338,3.9338,0,5
276.89,1,3.7436,3.9436,0,5
276.85,1,3.7534,3.9534,0,5
276.82,1,3.7632,3.9632,0,5
276.78,1,3.773,3.973,0,5
276.74,1,3.7828,3.9828,0,5
276.71,1,3.7926,3.9926,0,5
276.67,1,3.8024,4.0024,0,5
276.64,1,3.8122,4.0122,0,5
276.6,1,3.822,4.022,0,5
276.56,1,3.8318,4.0318,0,5
276.53,1,3.8416,4.0416,0,5
276.49,1,3.8514,4.0514,0,5
276.45,1,3.8612,4.0612,0,5
276.42,1,3.871,4.071,0,5
276.38,1,3.8808,4.0808,0,5
276.34,1,3.8906,4.0906,0,5
276.3,1,3.9004,4.1004,0,5
276.25,1,3.9102,4.1102,0,5
276.21,1,3.92,4.12,0,5
276.16,1,3.9298,4.1298,0,5
276.12,1,3.9396,4.1396,0,5
276.07,1,3.9494,4.1494,0,5
276.03,1,3.9592,4.1592,0,5
275.98,1,3.969,4.169,0,5
275.93,1,3.9788,4.1788,0,5
275.89,1,3.9886,4.1886,0,5
275.84,1,3.9984,4.1984,0,5
275.8,1,4.0082,4.2082,0,5
275.75,1,4.018,4.218,0,5
275.71,1,4.0278,4.2278,0,5
275.66,1,4.0376,4.2376,0,5
